what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462300641662
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462300646264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462300692768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1462300694593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462300695685
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462300696621
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462300715247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1462300716433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462300717400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462300827411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462300856708
failed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1462300856724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462300863385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462300871154
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1462300871201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1462300885210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1462300888220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462300893540
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462300894367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462300902604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301045094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301216045
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1462301217215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301221022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301228322
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462301228447
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462301228510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1462301231770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462301336212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462301395414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1462301403729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1462301404993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462301410765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462301419345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462301482431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462301497095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462301700395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301709271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301737223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301739039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301742644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462301747600
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1462301751123
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1462301751326
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462301774080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301781365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301785936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1462301785951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462301787340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462369268295
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1462369349118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462369351692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462369359383
